player,pos,age,tm,g,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,year,mpg,current_age,current_pos,min_year,year_in_league
Joe Harris,SG,24,CLE,5,15,3.4,0.375,1,.000,0,22.5,11.3,18.2,0,0,20,15.1,0,0,0,-0.032,-5,-0.9,-5.9,0,2016,3,29,SF,2015,1
Joe Harris,SG,25,BRK,52,1138,9,0.558,0.61,.135,1.5,12,6.8,7.3,1.2,0.5,12.5,16.5,0.1,0.6,0.8,0.032,-2.6,-0.9,-3.5,-0.4,2017,21.884615384615383,29,SF,2015,2
Joe Harris,SG,26,BRK,78,1975,13.3,0.634,0.576,.167,2.7,11.3,7,10.2,0.9,0.8,12,16.6,3,0.9,4,0.097,0.7,-0.6,0.1,1,2018,25.32051282051282,29,SF,2015,3
Joe Harris,SG,27,BRK,76,2293,13.5,0.645,0.516,.178,2.4,10.9,6.7,11.9,0.8,0.6,13,17,3.8,1.7,5.5,0.116,0.8,-0.3,0.5,1.4,2019,30.17105263157895,29,SF,2015,4
Joe Harris,SF,28,BRK,69,2123,13.3,0.606,0.518,.114,3.2,11.2,7.3,10.4,0.9,0.7,11.2,18.3,2.5,1.8,4.3,0.097,0.4,-0.6,-0.2,1,2020,30.768115942028984,29,SF,2015,5
Joe Harris,SF,29,BRK,69,2141,14.1,0.663,0.628,.089,2.3,10.1,6.4,8.4,1,0.6,7.8,16.2,4.1,1.1,5.2,0.117,1.7,-1.5,0.2,1.2,2021,31.028985507246375,29,SF,2015,6
Joe Ingles,SF,27,UTA,79,1673,9.6,0.533,0.571,.113,1.5,10.5,6,16.8,2.3,0.5,20.9,12.9,0.5,1.6,2.2,0.062,-2.3,1.1,-1.2,0.3,2015,21.17721518987342,33,SF,2015,0
Joe Ingles,SF,28,UTA,81,1241,10.3,0.572,0.722,.062,1.8,12.4,7.1,12.1,2.3,0.3,17.9,13.5,0.7,1.6,2.3,0.089,-1.4,1.6,0.2,0.7,2016,15.320987654320987,33,SF,2015,1
Joe Ingles,SF,29,UTA,82,1972,12.4,0.604,0.619,.151,1.4,13.6,7.6,17.2,2.6,0.3,18.2,13.9,2,3,5,0.123,-0.7,2.3,1.6,1.8,2017,24.048780487804876,33,SF,2015,2
Joe Ingles,SF,30,UTA,82,2578,14.4,0.623,0.646,.116,1.1,13.9,7.6,22.9,1.8,0.7,17.4,15.9,4,3.6,7.6,0.141,1,1.3,2.3,2.8,2018,31.4390243902439,33,SF,2015,3
Joe Ingles,PF,31,UTA,82,2568,13.4,0.581,0.602,.153,1.5,12.2,7,26.1,1.8,0.6,18.4,17.5,2.5,3.6,6,0.113,0.3,1.1,1.4,2.2,2019,31.317073170731707,33,SF,2015,4
Joe Ingles,PF,32,UTA,72,2137,12.6,0.595,0.638,.170,1.4,12.5,7.2,24.4,1.5,0.4,19.3,15.1,2.7,2.1,4.8,0.108,0,0.7,0.7,1.5,2020,29.680555555555557,33,SF,2015,5
Joe Ingles,SF,33,UTA,67,1867,15.9,0.672,0.722,.160,1.6,11.8,6.9,24,1.2,0.5,16.3,16.6,4.7,2.3,7,0.18,2.7,0.7,3.4,2.5,2021,27.865671641791046,33,SF,2015,6
Joe Young,PG,23,IND,41,384,9.9,0.428,0.272,.148,1.7,12.5,7.1,26.9,1.9,0,15.5,24.4,-0.5,0.5,-0.1,-0.009,-3.9,-0.8,-4.7,-0.3,2016,9.365853658536585,28,PG,2016,0
Joe Young,PG,24,IND,33,135,11.4,0.433,0.319,.208,0.8,13.1,7.1,18,1.5,0,6,27.8,-0.2,0.1,-0.1,-0.022,-3.1,-2.1,-5.2,-0.1,2017,4.090909090909091,28,PG,2016,1
Joe Young,PG,25,IND,53,558,10.1,0.521,0.355,.156,2.4,10.3,6.4,9.9,1.3,0.2,11.6,18,0.1,0.4,0.5,0.043,-2.3,-1.2,-3.5,-0.2,2018,10.528301886792454,28,PG,2016,2
Joel Bolomboy,PF,23,UTA,12,53,19.7,0.59,0.25,.375,9,27.6,18.5,6.3,1,3.1,9.7,18.2,0.1,0.1,0.2,0.171,2.3,1.1,3.4,0.1,2017,4.416666666666667,27,PF,2017,0
