bbref_id,height,weight
/cbb/players/kobe-elvis-1.html,73.4375,170
/cbb/players/romeo-weems-1.html,78.515625,215
/cbb/players/courvoisier-mccauley-1.html,76.5625,211
/cbb/players/ray-salnave-1.html,74.21875,205
/cbb/players/darious-hall-1.html,78.515625,205
/cbb/players/david-jones-10.html,77.34375,195
/cbb/players/matthew-hurt-1.html,80.46875,235
/cbb/players/mark-williams-7.html,83.203125,243
/cbb/players/jalen-johnson-24.html,80.46875,220
/cbb/players/jeremy-roach-2.html,72.265625,175
/cbb/players/dj-steward-1.html,73.4375,163
/cbb/players/wendell-moorejr-1.html,76.5625,216
/cbb/players/jaemyn-brakefield-1.html,79.296875,216
/cbb/players/jordan-goldwire-1.html,73.4375,184
/cbb/players/joey-baker-1.html,77.34375,201
/cbb/players/chad-baker-1.html,78.515625,190
/cbb/players/marcus-weathers-1.html,76.5625,215
/cbb/players/michael-hughes-2.html,79.296875,240
/cbb/players/toby-okani-1.html,78.515625,180
/cbb/players/amari-kelly-1.html,80.46875,230
/cbb/players/tavian-dunn-martin-1.html,67.578125,155
/cbb/players/tyson-acuff-1.html,75.390625,200
/cbb/players/andre-harris-8.html,78.515625,225
/cbb/players/sincere-carry-1.html,72.265625,180
/cbb/players/ryan-murphy-3.html,73.4375,185
/cbb/players/jayden-gardner-1.html,78.515625,235
/cbb/players/brandon-suggs-2.html,77.34375,205
/cbb/players/ludgy-debaut-1.html,83.203125,245
/cbb/players/tremont-robinson-white-1.html,72.265625,190
/cbb/players/noah-farrakhan-1.html,73.4375,170
/cbb/players/jj-miles-1.html,78.515625,220
/cbb/players/bitumba-baruti-1.html,78.515625,230
/cbb/players/tristen-newton-1.html,76.5625,200
/cbb/players/tyrie-jackson-1.html,73.4375,210
/cbb/players/omar-payne-1.html,81.25,230
/cbb/players/keyontae-johnson-1.html,76.5625,229
/cbb/players/colin-castleton-1.html,82.421875,231
/cbb/players/tre-mann-1.html,76.5625,190
/cbb/players/noah-locke-1.html,74.21875,203
/cbb/players/tyree-appleby-1.html,72.265625,170
/cbb/players/scottie-lewis-1.html,76.5625,189
/cbb/players/ques-glover-1.html,70.3125,182
/cbb/players/anthony-duruji-1.html,78.515625,220
/cbb/players/samson-ruzhentsev-1.html,78.515625,192
/cbb/players/tanor-ngom-1.html,84.375,236
/cbb/players/anthony-polite-1.html,77.34375,215
/cbb/players/balsa-koprivica-1.html,84.375,240
/cbb/players/raiquan-gray-1.html,79.296875,260
/cbb/players/mj-walker-1.html,76.5625,213
/cbb/players/nathanael-jack-1.html,76.5625,195
/cbb/players/malik-osborne-1.html,80.46875,225
/cbb/players/wyatt-wilkes-1.html,79.296875,220
/cbb/players/scottie-barnes-1.html,80.46875,227
/cbb/players/sardaar-calhoun-1.html,77.34375,220
/cbb/players/rayquan-evans-1.html,75.390625,210
/cbb/players/joel-soriano-1.html,82.421875,250
/cbb/players/chris-austin-1.html,75.390625,205
/cbb/players/onyi-eyisi-1.html,80.46875,225
/cbb/players/ty-perry-4.html,74.21875,215
/cbb/players/kyle-rose-1.html,74.21875,185
/cbb/players/josh-navarro-1.html,69.53125,170
/cbb/players/jalen-cobb-1.html,72.265625,165
/cbb/players/maceo-jack-1.html,76.5625,190
/cbb/players/jamison-battle-1.html,78.515625,225
/cbb/players/matthew-moyer-1.html,80.46875,229
/cbb/players/ricky-lindo-1.html,79.296875,220
/cbb/players/sloan-seymour-1.html,80.46875,205
