player,class,season,pos,school,conf,g,mp,fg,fga,fgpercent,x2p,x2pa,x3p,x3pa,x3ppercent,ft,fta,ftpercent,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,tspercent,efgpercent,orbpercent,drbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,pprod,ortg,drtg,ows,dws,ws,obpm,dbpm,bpm,player_link,school_link,conf_link,season_link
Ismael Massoud,SO,2020-21,F,Wake Forest,ACC,22,476,58,170,0.341,22,63,36,107,0.336,30,41,0.732,16,59,75,11,8,1,32,41,182,9.9,0.48,0.447,3.9,15.6,9.5,5.2,1,0.2,14.4,24.3,165,91.1,109.9,0.1,0.2,0.3,-0.6,-1.2,-1.9,/cbb/players/ismael-massoud-1.html,/cbb/schools/wake-forest/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Jahcobi Neath,SO,2020-21,G,Wake Forest,ACC,20,316,25,70,0.357,19,43,6,27,0.222,19,21,0.905,4,31,35,33,9,2,35,28,75,6.4,0.469,0.4,1.5,12.4,6.7,21.4,1.7,0.7,30.4,19,85,81.3,109,-0.3,0.2,-0.1,-4.1,-0.5,-4.6,/cbb/players/jahcobi-neath-1.html,/cbb/schools/wake-forest/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Isaiah Wilkins,JR,2020-21,G,Wake Forest,ACC,17,182,11,31,0.355,6,14,5,17,0.294,5,7,0.714,4,25,29,13,12,1,7,16,32,11.2,0.466,0.435,2.5,17.3,9.6,14.1,3.9,0.6,16.9,11.9,36,98,102.5,0.1,0.2,0.3,-0.5,4.8,4.3,/cbb/players/isaiah-wilkins-2.html,/cbb/schools/wake-forest/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Carter Whitt,FR,2020-21,G,Wake Forest,ACC,19,426,35,107,0.327,21,65,14,42,0.333,6,9,0.667,3,38,41,51,13,0,52,27,90,3.5,0.404,0.393,0.8,11.3,5.8,24.7,1.8,0,31.8,20,107,71.4,109.6,-0.8,0.2,-0.6,-5,-0.8,-5.8,/cbb/players/carter-whitt-1.html,/cbb/schools/wake-forest/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Ben Carlson,FR,2020-21,F,Wisconsin,Big Ten,7,64,6,11,0.545,5,8,1,3,0.333,7,8,0.875,1,5,6,4,1,3,1,10,20,17.7,0.676,0.591,1.8,9.3,5.5,12,1,5.1,6.3,13.4,19,143,100.6,0.2,0.1,0.3,0.1,3.2,3.3,/cbb/players/ben-carlson-1.html,/cbb/schools/wisconsin/2021.html,/cbb/conferences/big-ten/2021.html,/cbb/seasons/2021.html
Trevor Anderson,SR,2020-21,G,Wisconsin,Big Ten,29,411,33,62,0.532,20,38,13,24,0.542,12,18,0.667,8,33,41,36,6,0,13,23,91,12.7,0.645,0.637,2.3,9.6,5.9,16.4,0.9,0,15.6,11,97,125.2,104.4,0.8,0.4,1.3,1.8,2.4,4.2,/cbb/players/trevor-anderson-1.html,/cbb/schools/wisconsin/2021.html,/cbb/conferences/big-ten/2021.html,/cbb/seasons/2021.html
Micah Potter,SR,2020-21,F,Wisconsin,Big Ten,31,687,141,280,0.504,102,179,39,101,0.386,68,81,0.84,56,128,184,42,16,23,42,63,389,28.8,0.611,0.573,9.4,22.2,15.7,15,1.4,3.6,11.7,28.4,367,118.8,96.2,2.8,1.3,4,8.8,3.4,12.1,/cbb/players/micah-potter-1.html,/cbb/schools/wisconsin/2021.html,/cbb/conferences/big-ten/2021.html,/cbb/seasons/2021.html
D'Mitrik Trice,SR,2020-21,G,Wisconsin,Big Ten,31,1032,144,351,0.41,82,185,62,166,0.373,80,101,0.792,3,102,105,123,26,1,56,51,430,17.7,0.539,0.499,0.3,11.8,6,25.1,1.5,0.1,12.3,23.8,429,108.6,102.1,2.3,1.3,3.6,4.1,2.2,6.3,/cbb/players/dmitrik-trice-1.html,/cbb/schools/wisconsin/2021.html,/cbb/conferences/big-ten/2021.html,/cbb/seasons/2021.html
Aleem Ford,SR,2020-21,F,Wisconsin,Big Ten,31,818,99,244,0.406,53,109,46,135,0.341,25,32,0.781,26,105,131,34,19,16,29,63,269,14.1,0.519,0.5,3.7,15.3,9.4,8.4,1.4,2.1,10.1,19.1,251,103.5,99.7,1,1.2,2.3,2.3,2.8,5.1,/cbb/players/aleem-ford-1.html,/cbb/schools/wisconsin/2021.html,/cbb/conferences/big-ten/2021.html,/cbb/seasons/2021.html
Brad Davison,SR,2020-21,G,Wisconsin,Big Ten,31,960,91,264,0.345,28,102,63,162,0.389,66,76,0.868,10,99,109,73,33,0,27,72,311,14.3,0.518,0.464,1.2,12.3,6.7,14.7,2.1,0,8.3,18.4,306,110,100.6,1.7,1.4,3.1,2,3.3,5.3,/cbb/players/brad-davison-1.html,/cbb/schools/wisconsin/2021.html,/cbb/conferences/big-ten/2021.html,/cbb/seasons/2021.html
Jonathan Davis,FR,2020-21,G,Wisconsin,Big Ten,31,753,86,195,0.441,72,159,14,36,0.389,32,44,0.727,34,94,128,35,34,18,34,66,218,14.6,0.505,0.477,5.2,14.9,10,9.3,2.7,2.6,13.6,17.9,220,100.6,96.5,0.7,1.4,2.1,0.7,4.2,5,/cbb/players/jonathan-davis-3.html,/cbb/schools/wisconsin/2021.html,/cbb/conferences/big-ten/2021.html,/cbb/seasons/2021.html
Tyler Wahl,SO,2020-21,F,Wisconsin,Big Ten,31,765,58,133,0.436,48,97,10,36,0.278,34,60,0.567,33,100,133,42,31,21,28,68,160,12.8,0.495,0.474,5,15.6,10.2,10.2,2.5,3,14.8,13.4,178,103,96.6,0.7,1.4,2.1,0.7,4.9,5.6,/cbb/players/tyler-wahl-1.html,/cbb/schools/wisconsin/2021.html,/cbb/conferences/big-ten/2021.html,/cbb/seasons/2021.html
Nate Reuvers,SR,2020-21,F,Wisconsin,Big Ten,31,651,100,238,0.42,82,175,18,63,0.286,39,50,0.78,30,71,101,22,8,40,31,67,257,15.7,0.491,0.458,5.3,13,9.1,7.3,0.7,6.7,10.6,24.3,241,98,99,0.6,1,1.7,0.4,2.6,3,/cbb/players/nate-reuvers-1.html,/cbb/schools/wisconsin/2021.html,/cbb/conferences/big-ten/2021.html,/cbb/seasons/2021.html
